Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,salary_growth_rate,bonus_month_ratio,overtime_month_ratio,avg_bonus_pct,career_stagnation_index,promotion_velocity,role_stagnation_ratio,manager_stability_ratio,training_intensity
35,No,Travel_Rarely,Research & Development,16,3,1,4,1,Laboratory Technician,2,Married,2426,0,13,3,1,5,3,5,0,0.09597691673536692,0.2916666666666667,0.0,2.180261129138958,5.0,5.0,0.6666666666666666,0.5,0.8333333333333334
29,No,Travel_Rarely,Research & Development,15,2,4,2,2,Laboratory Technician,3,Single,4193,0,12,4,0,3,3,9,0,0.13339375149057947,0.2916666666666667,0.7083333333333334,1.8591271468935757,9.0,9.0,0.5,0.8,0.3
31,No,Travel_Rarely,Research & Development,26,1,1,3,1,Research Scientist,3,Divorced,2911,1,17,4,1,1,2,5,4,0.13669529371350053,0.2916666666666667,0.041666666666666664,1.7308467329156672,2.5,1.0,0.3333333333333333,0.5,0.16666666666666666
34,No,Travel_Rarely,Research & Development,19,2,2,3,1,Laboratory Technician,4,Divorced,2661,0,11,3,1,2,3,2,1,0.12946636602780917,0.2916666666666667,0.0,2.5152022534842984,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
28,Yes,Travel_Rarely,Research & Development,24,3,3,2,1,Laboratory Technician,3,Single,2028,5,14,2,0,4,3,4,0,0.11170611439842207,0.2916666666666667,0.7083333333333334,1.6192119906609483,0.6666666666666666,4.0,0.4,0.6,0.8
29,No,Travel_Rarely,Research & Development,21,4,2,4,3,Manufacturing Director,1,Divorced,9980,1,11,3,1,1,3,10,8,0.1199689378757516,0.2916666666666667,0.041666666666666664,2.495633077514315,5.0,1.1111111111111112,0.8181818181818182,0.7272727272727273,0.09090909090909091
32,No,Travel_Rarely,Research & Development,5,2,1,4,1,Research Scientist,2,Divorced,3298,0,12,4,2,5,2,6,0,0.07914796846573686,0.2916666666666667,0.6666666666666666,1.2838176650472493,6.0,6.0,0.2857142857142857,0.7142857142857143,0.7142857142857143
22,No,Non-Travel,Research & Development,16,2,4,4,1,Laboratory Technician,4,Divorced,2935,1,13,2,2,2,2,1,0,0.06573764906303238,0.16666666666666666,0.75,1.6726707041508784,0.5,1.0,0.0,0.0,1.0
53,No,Travel_Rarely,Sales,2,4,1,2,4,Manager,4,Married,15427,2,16,3,0,3,3,25,3,0.09225189602644703,0.2916666666666667,0.0,2.01880175804862,8.333333333333334,6.25,0.3076923076923077,0.2692307692307692,0.11538461538461539
38,No,Travel_Rarely,Research & Development,2,3,4,3,1,Research Scientist,4,Single,3944,5,11,3,0,3,3,3,1,0.1397210953346857,0.25,0.7916666666666666,1.294524136914544,0.5,1.5,0.5,0.5,0.75
24,No,Non-Travel,Research & Development,11,2,1,4,2,Manufacturing Director,3,Divorced,4011,0,18,4,1,5,2,4,1,0.12316878583894285,0.25,0.08333333333333333,1.4629639676056119,4.0,2.0,0.4,0.6,1.0
36,Yes,Travel_Rarely,Sales,9,4,3,2,1,Sales Representative,1,Single,3407,7,23,2,0,4,3,5,0,0.15286175520986212,0.3333333333333333,0.08333333333333333,5.761916135135389,0.625,5.0,0.5,0.5,0.6666666666666666
34,No,Travel_Rarely,Research & Development,7,4,1,3,3,Research Director,2,Single,11994,0,11,3,0,4,3,12,2,0.17504835751208944,0.25,0.08333333333333333,2.1934745578954136,12.0,4.0,0.46153846153846156,0.8461538461538461,0.3076923076923077
21,No,Travel_Rarely,Research & Development,15,2,3,3,1,Research Scientist,4,Single,1232,1,14,4,0,6,3,0,0,0.16301948051948045,0.2916666666666667,0.125,2.0042200860184147,0.0,0.0,0.0,0.0,6.0
34,Yes,Travel_Rarely,Research & Development,6,1,2,3,1,Research Scientist,1,Single,2960,2,11,3,0,2,3,4,1,0.16984121621621623,0.20833333333333334,0.041666666666666664,1.491603518545333,1.3333333333333333,2.0,0.4,0.6,0.4
53,No,Travel_Rarely,Research & Development,5,3,3,3,5,Manager,3,Divorced,19094,4,11,4,1,3,2,14,4,0.11439247931287311,0.20833333333333334,0.041666666666666664,0.8700890208058133,2.8,2.8,0.8666666666666667,0.5333333333333333,0.2
32,Yes,Travel_Frequently,Research & Development,16,1,2,1,1,Research Scientist,1,Single,3919,1,22,2,0,5,3,10,6,0.14150548609339128,0.3333333333333333,0.875,3.7564086110939634,5.0,1.4285714285714286,0.18181818181818182,0.6363636363636364,0.45454545454545453
42,No,Travel_Rarely,Sales,8,4,3,3,2,Sales Executive,2,Married,6825,0,11,4,1,2,3,9,4,0.07053626373626372,0.2916666666666667,0.041666666666666664,1.9277928640765816,9.0,1.8,0.7,0.2,0.2
44,No,Travel_Rarely,Research & Development,7,4,1,2,3,Healthcare Representative,4,Married,10248,3,14,4,1,4,3,22,5,0.13851092896174855,0.25,0.16666666666666666,1.2317588033128277,5.5,3.6666666666666665,0.2608695652173913,0.7391304347826086,0.17391304347826086
46,No,Travel_Rarely,Sales,2,4,2,3,5,Manager,1,Single,18947,3,12,4,0,2,2,2,2,0.15278883200506674,0.2916666666666667,0.08333333333333333,1.1960275453667109,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
33,No,Travel_Rarely,Research & Development,2,3,3,3,1,Laboratory Technician,4,Single,2496,4,11,4,0,3,3,1,0,0.16510416666666664,0.20833333333333334,0.08333333333333333,1.6771833731179409,0.2,1.0,0.5,0.0,1.5
44,No,Travel_Rarely,Research & Development,10,4,4,3,2,Healthcare Representative,4,Married,6465,2,13,4,0,5,4,4,1,0.06918174787316322,0.3333333333333333,0.7083333333333334,3.1521158333755546,1.3333333333333333,2.0,0.4,0.6,1.0
30,No,Travel_Rarely,Research & Development,9,2,4,2,1,Laboratory Technician,3,Single,2206,1,13,1,0,5,3,10,1,0.06403445149592031,0.3333333333333333,0.0,2.7652990120220258,5.0,5.0,0.0,0.7272727272727273,0.45454545454545453
39,Yes,Travel_Rarely,Sales,5,3,4,3,2,Sales Representative,4,Married,2086,3,14,3,1,6,4,1,0,0.062118887823585774,0.25,0.041666666666666664,1.1420032333279353,0.25,1.0,0.0,0.0,3.0
24,Yes,Travel_Rarely,Research & Development,1,3,2,3,1,Research Scientist,4,Married,2293,2,16,1,1,2,2,2,2,0.1401526384648931,0.2916666666666667,0.7083333333333334,1.239770055265575,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666
43,No,Travel_Rarely,Research & Development,2,2,4,4,1,Research Scientist,3,Divorced,2645,1,12,4,2,3,2,5,1,0.1382041587901702,0.20833333333333334,0.25,1.416231454542169,2.5,2.5,0.5,0.6666666666666666,0.5
50,Yes,Travel_Rarely,Sales,3,2,1,2,1,Sales Representative,3,Married,2683,1,14,3,0,2,3,3,0,0.10981364144614242,0.2916666666666667,0.7916666666666666,2.3511093590192775,1.5,3.0,0.5,0.5,0.5
35,No,Travel_Rarely,Sales,2,3,4,3,1,Sales Representative,4,Married,2014,1,13,1,0,3,3,2,2,0.13258689175769622,0.25,0.08333333333333333,1.9367874300803767,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
36,No,Travel_Rarely,Research & Development,5,4,2,2,1,Research Scientist,1,Married,3419,9,14,4,1,3,4,1,0,0.06096226966949395,0.2916666666666667,0.75,2.290863824993335,0.1,1.0,0.5,0.0,1.5
33,No,Travel_Frequently,Sales,1,3,3,4,2,Sales Executive,1,Married,5376,2,19,1,2,3,3,5,1,0.1557142857142857,0.25,0.08333333333333333,2.017321274793044,1.6666666666666667,2.5,0.5,0.5,0.5
35,No,Travel_Rarely,Research & Development,4,2,3,3,1,Laboratory Technician,4,Divorced,1951,1,12,3,1,3,3,1,0,0.1435468990261404,0.16666666666666666,0.041666666666666664,1.6175652936706963,0.5,1.0,0.0,0.0,1.5
27,No,Travel_Rarely,Research & Development,2,4,4,3,1,Laboratory Technician,1,Divorced,2341,1,13,4,1,6,3,1,0,0.17303289192652718,0.25,0.16666666666666666,1.3242981153267759,0.5,1.0,0.0,0.0,3.0
26,Yes,Travel_Rarely,Research & Development,25,3,1,1,1,Laboratory Technician,3,Single,2293,1,12,3,0,2,2,1,0,0.13096380287832543,0.2916666666666667,0.125,1.2985940095319608,0.5,1.0,0.0,0.5,1.0
27,No,Travel_Frequently,Sales,8,3,4,3,3,Sales Executive,3,Single,8726,1,15,4,0,0,3,9,1,0.12098212239284901,0.2916666666666667,0.125,2.6238913656784155,4.5,4.5,0.8,0.7,0.0
30,No,Travel_Frequently,Research & Development,1,2,3,3,2,Laboratory Technician,4,Single,4011,1,23,4,0,2,3,12,3,0.09775617053103973,0.3333333333333333,0.08333333333333333,6.57355891600539,6.0,3.0,0.6153846153846154,0.5384615384615384,0.15384615384615385
41,Yes,Travel_Rarely,Research & Development,12,3,2,3,5,Research Director,3,Married,19545,1,12,4,0,0,3,22,15,0.15414223586595033,0.3333333333333333,0.08333333333333333,2.692152565449198,11.0,1.375,0.6521739130434783,0.34782608695652173,0.0
34,No,Non-Travel,Sales,23,4,2,3,2,Sales Executive,3,Single,4568,0,20,3,0,2,3,9,8,0.06764448336252189,0.3333333333333333,0.0,3.6492798000862297,9.0,1.0,0.5,0.7,0.2
37,No,Travel_Rarely,Research & Development,19,2,2,3,1,Research Scientist,2,Married,3022,4,21,1,0,1,3,1,0,0.06686962276637985,0.3333333333333333,0.08333333333333333,6.870282912279116,0.2,1.0,0.0,0.0,0.5
46,No,Travel_Frequently,Sales,5,4,1,3,2,Sales Executive,4,Single,5772,4,21,3,0,4,3,9,0,0.07931046431046426,0.3333333333333333,0.7083333333333334,7.146179653399559,1.8,9.0,0.6,0.8,0.4
35,No,Travel_Rarely,Research & Development,8,1,4,4,1,Laboratory Technician,4,Married,2269,1,19,4,0,2,3,1,0,0.10415601586602025,0.25,0.08333333333333333,1.9503041286097211,0.5,1.0,0.0,0.5,1.0
48,Yes,Travel_Rarely,Research & Development,1,2,1,2,3,Laboratory Technician,3,Single,5381,9,13,4,0,2,3,1,0,0.15575171901133625,0.25,0.9583333333333334,2.4584414502173835,0.1,1.0,0.0,0.0,1.0
28,Yes,Travel_Rarely,Research & Development,5,4,3,3,1,Laboratory Technician,3,Single,3441,1,13,3,0,3,2,2,2,0.17858180761406567,0.2916666666666667,0.6666666666666666,2.3550074523366957,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
44,No,Travel_Rarely,Sales,1,5,2,3,2,Sales Executive,1,Divorced,5454,5,21,3,1,2,2,4,1,0.08999816648331506,0.3333333333333333,0.7916666666666666,6.92842148593287,0.6666666666666666,2.0,0.6,0.6,0.4
35,No,Non-Travel,Research & Development,11,2,3,2,3,Healthcare Representative,1,Married,9884,2,13,3,1,3,3,4,2,0.16966815054633752,0.3333333333333333,0.6666666666666666,3.0789785540745678,1.3333333333333333,1.3333333333333333,0.0,0.6,0.6
26,No,Travel_Rarely,Sales,23,3,3,2,2,Sales Executive,4,Married,4157,7,19,3,1,2,2,2,0,0.12061582872263643,0.125,0.8333333333333334,1.1718147759859394,0.25,2.0,0.6666666666666666,0.0,0.6666666666666666
33,No,Travel_Frequently,Research & Development,1,2,1,3,3,Research Director,4,Single,13458,1,12,3,0,1,3,15,8,0.11206865804725809,0.20833333333333334,0.4583333333333333,1.103902634392095,7.5,1.6666666666666667,0.875,0.75,0.0625
35,No,Travel_Frequently,Sales,18,5,2,3,3,Sales Executive,1,Married,9069,1,22,4,1,3,2,9,1,0.15514610210607568,0.3333333333333333,0.08333333333333333,4.656070958228746,4.5,4.5,0.8,0.8,0.3
35,No,Travel_Rarely,Research & Development,23,4,3,3,1,Laboratory Technician,1,Married,4014,3,15,3,1,3,3,2,2,0.05148729446935727,0.3333333333333333,0.7916666666666666,2.6406973886826184,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
31,No,Travel_Rarely,Research & Development,7,4,4,3,2,Laboratory Technician,4,Divorced,5915,3,22,4,1,3,2,7,1,0.15774133558748943,0.3333333333333333,0.125,7.028972508967514,1.75,3.5,0.875,0.875,0.375
37,No,Travel_Rarely,Research & Development,1,4,1,2,2,Manufacturing Director,3,Divorced,5993,1,18,3,1,2,4,7,0,0.17923577507091604,0.2916666666666667,0.125,2.827410966450431,3.5,7.0,0.625,0.875,0.25
32,No,Travel_Rarely,Research & Development,1,3,1,3,2,Manufacturing Director,4,Married,6162,1,22,2,1,3,3,9,7,0.07016553067185974,0.3333333333333333,0.5416666666666666,4.098845443999225,4.5,1.125,0.8,0.8,0.3
38,No,Travel_Frequently,Research & Development,29,5,4,3,2,Laboratory Technician,4,Single,2406,1,11,4,0,2,3,10,9,0.1277306733167083,0.20833333333333334,0.041666666666666664,1.638310966737994,5.0,1.0,0.2727272727272727,0.8181818181818182,0.18181818181818182
50,No,Travel_Rarely,Research & Development,7,2,2,2,5,Research Director,3,Divorced,18740,5,12,4,1,2,2,27,13,0.08314941302027755,0.25,0.8333333333333334,1.4953934887400093,4.5,1.9285714285714286,0.10714285714285714,0.2857142857142857,0.07142857142857142
59,No,Travel_Rarely,Sales,25,3,1,3,3,Sales Executive,1,Single,7637,7,11,4,0,3,2,21,7,0.08400288071232168,0.2916666666666667,0.041666666666666664,2.0591155535981724,2.625,2.625,0.7272727272727273,0.4090909090909091,0.13636363636363635
36,No,Travel_Rarely,Research & Development,8,3,3,3,3,Healthcare Representative,3,Divorced,10096,1,13,2,3,2,3,17,12,0.17874207606973058,0.20833333333333334,0.2916666666666667,2.0383822992357,8.5,1.3076923076923077,0.7777777777777778,0.4444444444444444,0.1111111111111111
55,No,Travel_Rarely,Research & Development,8,3,4,3,4,Manager,3,Divorced,14756,2,14,3,3,2,3,5,0,0.11843927893738132,0.2916666666666667,0.75,2.5670364176956744,1.6666666666666667,5.0,0.0,0.3333333333333333,0.3333333333333333
36,No,Travel_Frequently,Research & Development,11,3,2,2,2,Manufacturing Director,2,Single,6499,1,13,3,0,3,3,6,0,0.1669102938913679,0.16666666666666666,0.125,1.2381285612827244,3.0,6.0,0.7142857142857143,0.42857142857142855,0.42857142857142855
45,No,Travel_Rarely,Research & Development,7,3,2,3,3,Research Scientist,1,Divorced,9724,2,17,3,1,2,3,1,0,0.07965754833401893,0.2916666666666667,0.125,2.1599448245887243,0.3333333333333333,1.0,0.0,0.0,1.0
35,No,Travel_Frequently,Research & Development,1,3,2,3,1,Research Scientist,1,Married,2194,4,13,4,1,2,2,3,1,0.1671467639015496,0.25,0.0,2.357808344558422,0.6,1.5,0.5,0.5,0.5
36,Yes,Travel_Rarely,Research & Development,9,3,4,2,1,Research Scientist,3,Married,3388,0,17,1,1,0,2,1,0,0.0730932703659976,0.20833333333333334,0.6666666666666666,1.3444707770618416,1.0,1.0,0.0,0.0,0.0
59,No,Travel_Frequently,Sales,1,1,1,2,2,Sales Executive,3,Single,5473,7,11,4,0,2,2,4,1,0.10210487849442713,0.3333333333333333,0.125,2.946912547739288,0.5,2.0,0.6,0.6,0.4
29,No,Travel_Rarely,Research & Development,2,3,3,3,1,Research Scientist,2,Married,2703,0,23,4,1,3,3,5,0,0.11275989641139474,0.3333333333333333,0.20833333333333334,4.555056660003803,5.0,5.0,0.6666666666666666,0.6666666666666666,0.5
31,No,Travel_Rarely,Research & Development,1,4,3,3,1,Research Scientist,2,Single,2501,1,17,2,0,4,3,1,1,0.17459816073570575,0.25,0.041666666666666664,1.3660357784586907,0.5,0.5,0.5,0.0,2.0
32,No,Travel_Rarely,Research & Development,1,3,2,3,2,Research Scientist,2,Married,6220,1,17,2,2,3,3,10,0,0.1267218649517685,0.25,0.0,2.0385372519670644,5.0,10.0,0.36363636363636365,0.8181818181818182,0.2727272727272727
36,No,Travel_Rarely,Research & Development,6,3,2,4,1,Laboratory Technician,4,Married,3038,3,12,2,0,3,3,1,0,0.14893680052666222,0.3333333333333333,0.0,1.9403046479534705,0.25,1.0,0.0,0.0,1.5
31,No,Travel_Rarely,Research & Development,8,4,3,3,2,Manufacturing Director,4,Single,4424,1,23,4,0,2,3,11,1,0.12933318264014468,0.3333333333333333,0.041666666666666664,5.072089912215756,5.5,5.5,0.5833333333333334,0.6666666666666666,0.16666666666666666
35,No,Travel_Rarely,Sales,1,4,3,2,2,Sales Executive,1,Single,4312,0,14,2,0,2,3,15,2,0.15770176252319115,0.25,0.08333333333333333,2.2078595373031042,15.0,5.0,0.8125,0.5,0.125
45,No,Travel_Rarely,Research & Development,6,4,4,3,3,Research Director,1,Married,13245,4,14,2,0,3,4,0,0,0.1524794261985655,0.20833333333333334,0.7083333333333334,2.058253782656499,0.0,0.0,0.0,0.0,3.0
37,No,Travel_Rarely,Research & Development,7,4,1,3,3,Research Director,3,Single,13664,4,13,1,0,3,4,5,0,0.05120755269320849,0.2916666666666667,0.125,2.385387525266247,1.0,5.0,0.3333333333333333,0.3333333333333333,0.5
46,No,Travel_Rarely,Human Resources,5,2,2,3,2,Human Resources,2,Divorced,5021,8,22,4,1,2,3,4,0,0.15284007169886474,0.3333333333333333,0.6666666666666666,4.350240655917372,0.4444444444444444,4.0,0.4,0.4,0.4
30,No,Travel_Rarely,Research & Development,1,1,4,2,2,Laboratory Technician,4,Married,5126,1,12,3,2,1,2,10,3,0.06715762777994537,0.3333333333333333,0.75,3.0632418781530744,5.0,2.5,0.7272727272727273,0.0,0.09090909090909091
35,No,Travel_Rarely,Research & Development,1,3,2,2,1,Research Scientist,3,Single,2859,1,18,1,0,3,3,6,0,0.17394543546694646,0.2916666666666667,0.16666666666666666,1.5719101507442441,3.0,6.0,0.5714285714285714,0.5714285714285714,0.42857142857142855
55,No,Travel_Rarely,Sales,1,2,1,3,3,Sales Executive,4,Married,10239,3,14,4,1,4,3,1,1,0.09779958980369184,0.25,0.125,1.3826755626445282,0.25,0.5,0.0,0.0,2.0
38,No,Non-Travel,Research & Development,6,3,2,1,2,Research Scientist,4,Divorced,5329,7,12,4,3,3,3,13,1,0.09039031713267022,0.2916666666666667,0.6666666666666666,1.3337388147575842,1.625,6.5,0.7857142857142857,0.6428571428571429,0.21428571428571427
34,No,Travel_Rarely,Research & Development,1,2,1,3,2,Manufacturing Director,2,Married,4325,1,15,3,0,2,3,5,1,0.16976647398843925,0.16666666666666666,0.16666666666666666,1.6753787017914843,2.5,2.5,0.3333333333333333,0.5,0.3333333333333333
56,No,Travel_Rarely,Research & Development,7,3,4,1,3,Manufacturing Director,4,Single,7260,4,11,1,0,3,2,6,0,0.16082231404958675,0.25,0.16666666666666666,1.1427157543269368,1.2,6.0,0.5714285714285714,0.2857142857142857,0.42857142857142855
23,No,Travel_Rarely,Sales,2,1,3,3,1,Sales Representative,1,Divorced,2322,3,13,3,1,3,3,0,0,0.05283376399655462,0.2916666666666667,0.125,1.290794384925799,0.0,0.0,0.0,0.0,3.0
51,No,Travel_Rarely,Research & Development,9,4,4,3,1,Laboratory Technician,4,Married,2075,3,23,2,2,4,3,4,0,0.12067469879518077,0.3333333333333333,0.08333333333333333,3.444565571608138,1.0,4.0,0.4,0.6,0.8
30,No,Travel_Rarely,Research & Development,2,3,3,2,2,Healthcare Representative,4,Married,4152,1,19,1,3,3,3,11,10,0.1795303468208092,0.20833333333333334,0.125,1.1280695997658725,5.5,1.0,0.8333333333333334,0.6666666666666666,0.25
46,Yes,Travel_Rarely,Sales,9,2,3,2,3,Sales Executive,4,Single,9619,1,16,4,0,3,3,9,4,0.05774196901964862,0.16666666666666666,0.08333333333333333,0.8048340514543839,4.5,1.8,0.8,0.7,0.3
40,No,Travel_Frequently,Research & Development,1,4,3,2,4,Healthcare Representative,2,Married,13503,1,22,4,1,3,2,22,11,0.1754735984596016,0.3333333333333333,0.125,3.5110322101988873,11.0,1.8333333333333333,0.13043478260869565,0.4782608695652174,0.13043478260869565
51,No,Travel_Rarely,Sales,21,4,3,3,2,Sales Executive,4,Single,5441,0,22,4,0,2,1,10,1,0.1045543098695093,0.3333333333333333,0.5833333333333334,4.015538826939333,10.0,5.0,0.6363636363636364,0.0,0.18181818181818182
30,No,Travel_Rarely,Sales,4,2,3,2,2,Sales Executive,2,Divorced,5209,1,12,2,3,4,2,11,2,0.054029564215780305,0.3333333333333333,0.7916666666666666,3.2253241046890833,5.5,3.6666666666666665,0.6666666666666666,0.5833333333333334,0.3333333333333333
46,No,Travel_Frequently,Research & Development,1,3,3,2,3,Healthcare Representative,1,Married,10673,2,13,3,1,5,2,10,9,0.10037852525063246,0.2916666666666667,0.75,1.825360581797803,3.3333333333333335,1.0,0.8181818181818182,0.45454545454545453,0.45454545454545453
32,No,Travel_Rarely,Sales,6,4,2,3,2,Sales Executive,3,Single,5010,1,16,1,0,0,3,11,5,0.10837524950099801,0.25,0.08333333333333333,2.434200639918891,5.5,1.8333333333333333,0.6666666666666666,0.5833333333333334,0.0
54,No,Travel_Rarely,Research & Development,2,4,1,3,3,Research Director,3,Married,13549,9,12,1,1,5,1,4,0,0.11963244519890764,0.20833333333333334,0.16666666666666666,1.2497893898859003,0.4,4.0,0.6,0.6,1.0
24,No,Travel_Rarely,Sales,3,2,1,3,2,Sales Executive,3,Married,4999,0,21,1,1,2,2,3,0,0.16874574914983004,0.3333333333333333,0.20833333333333334,4.962016536365614,3.0,3.0,0.5,0.5,0.5
28,No,Non-Travel,Sales,4,3,2,3,2,Sales Executive,3,Married,4221,1,15,2,0,3,4,5,0,0.09841980573323864,0.2916666666666667,0.041666666666666664,2.191465244433205,2.5,5.0,0.6666666666666666,0.6666666666666666,0.5
58,No,Travel_Rarely,Sales,10,4,4,3,4,Sales Executive,3,Single,13872,0,13,3,0,1,2,37,1,0.1607064590542099,0.25,0.125,1.7096868092332331,37.0,18.5,0.2631578947368421,0.21052631578947367,0.02631578947368421
44,No,Non-Travel,Research & Development,23,3,2,3,2,Laboratory Technician,2,Married,2042,4,12,3,1,3,4,3,1,0.08372673849167472,0.2916666666666667,0.125,1.8946064025646576,0.6,1.5,0.5,0.5,0.75
37,Yes,Travel_Rarely,Human Resources,6,4,3,3,1,Human Resources,1,Divorced,2073,4,22,4,0,3,3,3,0,0.06531114327062222,0.3333333333333333,0.7083333333333334,3.566942072472576,0.6,3.0,0.5,0.5,0.75
32,No,Travel_Rarely,Research & Development,1,1,4,3,1,Research Scientist,1,Single,2956,1,13,4,0,2,3,1,0,0.08555818673883622,0.2916666666666667,0.125,2.5307085178112807,0.5,1.0,0.0,0.0,1.0
20,Yes,Travel_Frequently,Research & Development,6,3,4,2,1,Laboratory Technician,4,Single,2926,1,18,2,0,5,3,1,1,0.17941216678058786,0.20833333333333334,0.875,1.3186931901244336,0.5,0.5,0.0,0.0,2.5
34,No,Travel_Rarely,Research & Development,6,4,1,3,2,Research Scientist,3,Single,4809,1,14,3,0,3,3,16,2,0.06312746932834268,0.25,0.125,1.7988090081992698,8.0,5.333333333333333,0.7647058823529411,0.5882352941176471,0.17647058823529413
37,No,Non-Travel,Research & Development,2,2,3,2,2,Healthcare Representative,4,Divorced,5163,5,14,4,1,2,4,1,0,0.17852605074569042,0.25,0.16666666666666666,1.4640203170902275,0.16666666666666666,1.0,0.0,0.0,1.0
59,No,Non-Travel,Human Resources,2,4,3,2,5,Manager,4,Married,18844,9,21,4,1,3,3,3,2,0.0707211844618976,0.3333333333333333,0.08333333333333333,5.026304057008477,0.3,1.0,0.5,0.5,0.75
50,No,Travel_Frequently,Research & Development,1,3,1,3,5,Research Director,2,Married,18172,3,19,1,0,1,2,8,0,0.11748294078802561,0.20833333333333334,0.8333333333333334,1.7203819135231266,2.0,8.0,0.3333333333333333,0.7777777777777778,0.1111111111111111
25,Yes,Travel_Rarely,Sales,5,3,3,2,2,Sales Executive,3,Single,5744,1,11,4,0,1,3,6,0,0.06334435933147639,0.2916666666666667,0.875,1.891692770786483,3.0,6.0,0.5714285714285714,0.42857142857142855,0.14285714285714285
25,No,Travel_Rarely,Research & Development,7,1,4,2,1,Research Scientist,4,Married,2889,1,11,3,2,2,3,2,2,0.10319833852544129,0.2916666666666667,0.08333333333333333,1.604018453699552,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
22,No,Travel_Rarely,Research & Development,15,3,2,3,1,Laboratory Technician,4,Single,2871,1,15,3,0,5,3,0,0,0.10442702890978751,0.2916666666666667,0.0,2.23508075563857,0.0,0.0,0.0,0.0,5.0
51,No,Travel_Frequently,Research & Development,1,4,1,2,3,Healthcare Representative,1,Single,7484,3,20,3,0,1,2,13,12,0.14722340994120786,0.3333333333333333,0.08333333333333333,6.738041854781941,3.25,1.0,0.8571428571428571,0.5714285714285714,0.07142857142857142
