Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,salary_growth_rate,bonus_month_ratio,overtime_month_ratio,avg_bonus_pct,career_stagnation_index,promotion_velocity,role_stagnation_ratio,manager_stability_ratio,training_intensity,Cluster,Cluster_Name
21,No,Travel_Rarely,Research & Development,15,2,3,3,1,Research Scientist,4,Single,1232,1,14,4,0,6,3,0,0,0.1630194805194804,0.2916666666666667,0.125,2.0042200860184147,0.0,0.0,0.0,0.0,6.0,0,Disengaged Juniors
34,Yes,Travel_Rarely,Research & Development,6,1,2,3,1,Research Scientist,1,Single,2960,2,11,3,0,2,3,4,1,0.1698412162162162,0.2083333333333333,0.0416666666666666,1.491603518545333,1.3333333333333333,2.0,0.4,0.6,0.4,0,Disengaged Juniors
53,No,Travel_Rarely,Research & Development,5,3,3,3,5,Manager,3,Divorced,19094,4,11,4,1,3,2,14,4,0.1143924793128731,0.2083333333333333,0.0416666666666666,0.8700890208058133,2.8,2.8,0.8666666666666667,0.5333333333333333,0.2,2,Senior Stable
32,Yes,Travel_Frequently,Research & Development,16,1,2,1,1,Research Scientist,1,Single,3919,1,22,2,0,5,3,10,6,0.1415054860933912,0.3333333333333333,0.875,3.7564086110939634,5.0,1.4285714285714286,0.1818181818181818,0.6363636363636364,0.4545454545454545,1,Overworked Juniors
42,No,Travel_Rarely,Sales,8,4,3,3,2,Sales Executive,2,Married,6825,0,11,4,1,2,3,9,4,0.0705362637362637,0.2916666666666667,0.0416666666666666,1.9277928640765816,9.0,1.8,0.7,0.2,0.2,0,Disengaged Juniors
44,No,Travel_Rarely,Research & Development,7,4,1,2,3,Healthcare Representative,4,Married,10248,3,14,4,1,4,3,22,5,0.1385109289617485,0.25,0.1666666666666666,1.2317588033128275,5.5,3.6666666666666665,0.2608695652173913,0.7391304347826086,0.1739130434782608,4,Stagnant Mid-Seniors
46,No,Travel_Rarely,Sales,2,4,2,3,5,Manager,1,Single,18947,3,12,4,0,2,2,2,2,0.1527888320050667,0.2916666666666667,0.0833333333333333,1.1960275453667109,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,2,Senior Stable
33,No,Travel_Rarely,Research & Development,2,3,3,3,1,Laboratory Technician,4,Single,2496,4,11,4,0,3,3,1,0,0.1651041666666666,0.2083333333333333,0.0833333333333333,1.6771833731179409,0.2,1.0,0.5,0.0,1.5,0,Disengaged Juniors
44,No,Travel_Rarely,Research & Development,10,4,4,3,2,Healthcare Representative,4,Married,6465,2,13,4,0,5,4,4,1,0.0691817478731632,0.3333333333333333,0.7083333333333334,3.1521158333755546,1.3333333333333333,2.0,0.4,0.6,1.0,1,Overworked Juniors
30,No,Travel_Rarely,Research & Development,9,2,4,2,1,Laboratory Technician,3,Single,2206,1,13,1,0,5,3,10,1,0.0640344514959203,0.3333333333333333,0.0,2.7652990120220258,5.0,5.0,0.0,0.7272727272727273,0.4545454545454545,0,Disengaged Juniors
39,Yes,Travel_Rarely,Sales,5,3,4,3,2,Sales Representative,4,Married,2086,3,14,3,1,6,4,1,0,0.0621188878235857,0.25,0.0416666666666666,1.1420032333279353,0.25,1.0,0.0,0.0,3.0,0,Disengaged Juniors
24,Yes,Travel_Rarely,Research & Development,1,3,2,3,1,Research Scientist,4,Married,2293,2,16,1,1,2,2,2,2,0.1401526384648931,0.2916666666666667,0.7083333333333334,1.239770055265575,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,1,Overworked Juniors
43,No,Travel_Rarely,Research & Development,2,2,4,4,1,Research Scientist,3,Divorced,2645,1,12,4,2,3,2,5,1,0.1382041587901702,0.2083333333333333,0.25,1.416231454542169,2.5,2.5,0.5,0.6666666666666666,0.5,0,Disengaged Juniors
50,Yes,Travel_Rarely,Sales,3,2,1,2,1,Sales Representative,3,Married,2683,1,14,3,0,2,3,3,0,0.1098136414461424,0.2916666666666667,0.7916666666666666,2.351109359019277,1.5,3.0,0.5,0.5,0.5,1,Overworked Juniors
35,No,Travel_Rarely,Sales,2,3,4,3,1,Sales Representative,4,Married,2014,1,13,1,0,3,3,2,2,0.1325868917576962,0.25,0.0833333333333333,1.936787430080377,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0,Disengaged Juniors
36,No,Travel_Rarely,Research & Development,5,4,2,2,1,Research Scientist,1,Married,3419,9,14,4,1,3,4,1,0,0.0609622696694939,0.2916666666666667,0.75,2.290863824993335,0.1,1.0,0.5,0.0,1.5,1,Overworked Juniors
33,No,Travel_Frequently,Sales,1,3,3,4,2,Sales Executive,1,Married,5376,2,19,1,2,3,3,5,1,0.1557142857142857,0.25,0.0833333333333333,2.017321274793044,1.6666666666666667,2.5,0.5,0.5,0.5,0,Disengaged Juniors
35,No,Travel_Rarely,Research & Development,4,2,3,3,1,Laboratory Technician,4,Divorced,1951,1,12,3,1,3,3,1,0,0.1435468990261404,0.1666666666666666,0.0416666666666666,1.6175652936706963,0.5,1.0,0.0,0.0,1.5,0,Disengaged Juniors
27,No,Travel_Rarely,Research & Development,2,4,4,3,1,Laboratory Technician,1,Divorced,2341,1,13,4,1,6,3,1,0,0.1730328919265271,0.25,0.1666666666666666,1.324298115326776,0.5,1.0,0.0,0.0,3.0,0,Disengaged Juniors
26,Yes,Travel_Rarely,Research & Development,25,3,1,1,1,Laboratory Technician,3,Single,2293,1,12,3,0,2,2,1,0,0.1309638028783254,0.2916666666666667,0.125,1.2985940095319608,0.5,1.0,0.0,0.5,1.0,0,Disengaged Juniors
27,No,Travel_Frequently,Sales,8,3,4,3,3,Sales Executive,3,Single,8726,1,15,4,0,0,3,9,1,0.120982122392849,0.2916666666666667,0.125,2.6238913656784155,4.5,4.5,0.8,0.7,0.0,0,Disengaged Juniors
30,No,Travel_Frequently,Research & Development,1,2,3,3,2,Laboratory Technician,4,Single,4011,1,23,4,0,2,3,12,3,0.0977561705310397,0.3333333333333333,0.0833333333333333,6.57355891600539,6.0,3.0,0.6153846153846154,0.5384615384615384,0.1538461538461538,0,Disengaged Juniors
41,Yes,Travel_Rarely,Research & Development,12,3,2,3,5,Research Director,3,Married,19545,1,12,4,0,0,3,22,15,0.1541422358659503,0.3333333333333333,0.0833333333333333,2.692152565449198,11.0,1.375,0.6521739130434783,0.3478260869565217,0.0,4,Stagnant Mid-Seniors
34,No,Non-Travel,Sales,23,4,2,3,2,Sales Executive,3,Single,4568,0,20,3,0,2,3,9,8,0.0676444833625218,0.3333333333333333,0.0,3.6492798000862297,9.0,1.0,0.5,0.7,0.2,4,Stagnant Mid-Seniors
37,No,Travel_Rarely,Research & Development,19,2,2,3,1,Research Scientist,2,Married,3022,4,21,1,0,1,3,1,0,0.0668696227663798,0.3333333333333333,0.0833333333333333,6.870282912279116,0.2,1.0,0.0,0.0,0.5,0,Disengaged Juniors
46,No,Travel_Frequently,Sales,5,4,1,3,2,Sales Executive,4,Single,5772,4,21,3,0,4,3,9,0,0.0793104643104642,0.3333333333333333,0.7083333333333334,7.146179653399559,1.8,9.0,0.6,0.8,0.4,3,High Potential Fast Trackers
35,No,Travel_Rarely,Research & Development,8,1,4,4,1,Laboratory Technician,4,Married,2269,1,19,4,0,2,3,1,0,0.1041560158660202,0.25,0.0833333333333333,1.950304128609721,0.5,1.0,0.0,0.5,1.0,0,Disengaged Juniors
48,Yes,Travel_Rarely,Research & Development,1,2,1,2,3,Laboratory Technician,3,Single,5381,9,13,4,0,2,3,1,0,0.1557517190113362,0.25,0.9583333333333334,2.4584414502173835,0.1,1.0,0.0,0.0,1.0,1,Overworked Juniors
28,Yes,Travel_Rarely,Research & Development,5,4,3,3,1,Laboratory Technician,3,Single,3441,1,13,3,0,3,2,2,2,0.1785818076140656,0.2916666666666667,0.6666666666666666,2.355007452336696,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1,Overworked Juniors
44,No,Travel_Rarely,Sales,1,5,2,3,2,Sales Executive,1,Divorced,5454,5,21,3,1,2,2,4,1,0.089998166483315,0.3333333333333333,0.7916666666666666,6.92842148593287,0.6666666666666666,2.0,0.6,0.6,0.4,1,Overworked Juniors
35,No,Non-Travel,Research & Development,11,2,3,2,3,Healthcare Representative,1,Married,9884,2,13,3,1,3,3,4,2,0.1696681505463375,0.3333333333333333,0.6666666666666666,3.078978554074568,1.3333333333333333,1.3333333333333333,0.0,0.6,0.6,1,Overworked Juniors
26,No,Travel_Rarely,Sales,23,3,3,2,2,Sales Executive,4,Married,4157,7,19,3,1,2,2,2,0,0.1206158287226364,0.125,0.8333333333333334,1.1718147759859394,0.25,2.0,0.6666666666666666,0.0,0.6666666666666666,1,Overworked Juniors
33,No,Travel_Frequently,Research & Development,1,2,1,3,3,Research Director,4,Single,13458,1,12,3,0,1,3,15,8,0.112068658047258,0.2083333333333333,0.4583333333333333,1.103902634392095,7.5,1.6666666666666667,0.875,0.75,0.0625,4,Stagnant Mid-Seniors
35,No,Travel_Frequently,Sales,18,5,2,3,3,Sales Executive,1,Married,9069,1,22,4,1,3,2,9,1,0.1551461021060756,0.3333333333333333,0.0833333333333333,4.656070958228746,4.5,4.5,0.8,0.8,0.3,0,Disengaged Juniors
35,No,Travel_Rarely,Research & Development,23,4,3,3,1,Laboratory Technician,1,Married,4014,3,15,3,1,3,3,2,2,0.0514872944693572,0.3333333333333333,0.7916666666666666,2.6406973886826184,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1,Overworked Juniors
31,No,Travel_Rarely,Research & Development,7,4,4,3,2,Laboratory Technician,4,Divorced,5915,3,22,4,1,3,2,7,1,0.1577413355874894,0.3333333333333333,0.125,7.028972508967514,1.75,3.5,0.875,0.875,0.375,0,Disengaged Juniors
37,No,Travel_Rarely,Research & Development,1,4,1,2,2,Manufacturing Director,3,Divorced,5993,1,18,3,1,2,4,7,0,0.179235775070916,0.2916666666666667,0.125,2.827410966450431,3.5,7.0,0.625,0.875,0.25,0,Disengaged Juniors
32,No,Travel_Rarely,Research & Development,1,3,1,3,2,Manufacturing Director,4,Married,6162,1,22,2,1,3,3,9,7,0.0701655306718597,0.3333333333333333,0.5416666666666666,4.098845443999225,4.5,1.125,0.8,0.8,0.3,1,Overworked Juniors
38,No,Travel_Frequently,Research & Development,29,5,4,3,2,Laboratory Technician,4,Single,2406,1,11,4,0,2,3,10,9,0.1277306733167083,0.2083333333333333,0.0416666666666666,1.638310966737994,5.0,1.0,0.2727272727272727,0.8181818181818182,0.1818181818181818,0,Disengaged Juniors
50,No,Travel_Rarely,Research & Development,7,2,2,2,5,Research Director,3,Divorced,18740,5,12,4,1,2,2,27,13,0.0831494130202775,0.25,0.8333333333333334,1.495393488740009,4.5,1.9285714285714288,0.1071428571428571,0.2857142857142857,0.0714285714285714,4,Stagnant Mid-Seniors
59,No,Travel_Rarely,Sales,25,3,1,3,3,Sales Executive,1,Single,7637,7,11,4,0,3,2,21,7,0.0840028807123216,0.2916666666666667,0.0416666666666666,2.0591155535981724,2.625,2.625,0.7272727272727273,0.4090909090909091,0.1363636363636363,2,Senior Stable
36,No,Travel_Rarely,Research & Development,8,3,3,3,3,Healthcare Representative,3,Divorced,10096,1,13,2,3,2,3,17,12,0.1787420760697305,0.2083333333333333,0.2916666666666667,2.0383822992357,8.5,1.3076923076923077,0.7777777777777778,0.4444444444444444,0.1111111111111111,4,Stagnant Mid-Seniors
55,No,Travel_Rarely,Research & Development,8,3,4,3,4,Manager,3,Divorced,14756,2,14,3,3,2,3,5,0,0.1184392789373813,0.2916666666666667,0.75,2.5670364176956744,1.6666666666666667,5.0,0.0,0.3333333333333333,0.3333333333333333,2,Senior Stable
36,No,Travel_Frequently,Research & Development,11,3,2,2,2,Manufacturing Director,2,Single,6499,1,13,3,0,3,3,6,0,0.1669102938913679,0.1666666666666666,0.125,1.2381285612827244,3.0,6.0,0.7142857142857143,0.4285714285714285,0.4285714285714285,0,Disengaged Juniors
45,No,Travel_Rarely,Research & Development,7,3,2,3,3,Research Scientist,1,Divorced,9724,2,17,3,1,2,3,1,0,0.0796575483340189,0.2916666666666667,0.125,2.1599448245887243,0.3333333333333333,1.0,0.0,0.0,1.0,2,Senior Stable
35,No,Travel_Frequently,Research & Development,1,3,2,3,1,Research Scientist,1,Married,2194,4,13,4,1,2,2,3,1,0.1671467639015496,0.25,0.0,2.357808344558422,0.6,1.5,0.5,0.5,0.5,0,Disengaged Juniors
36,Yes,Travel_Rarely,Research & Development,9,3,4,2,1,Research Scientist,3,Married,3388,0,17,1,1,0,2,1,0,0.0730932703659976,0.2083333333333333,0.6666666666666666,1.3444707770618416,1.0,1.0,0.0,0.0,0.0,1,Overworked Juniors
59,No,Travel_Frequently,Sales,1,1,1,2,2,Sales Executive,3,Single,5473,7,11,4,0,2,2,4,1,0.1021048784944271,0.3333333333333333,0.125,2.946912547739288,0.5,2.0,0.6,0.6,0.4,0,Disengaged Juniors
29,No,Travel_Rarely,Research & Development,2,3,3,3,1,Research Scientist,2,Married,2703,0,23,4,1,3,3,5,0,0.1127598964113947,0.3333333333333333,0.2083333333333333,4.555056660003803,5.0,5.0,0.6666666666666666,0.6666666666666666,0.5,0,Disengaged Juniors
31,No,Travel_Rarely,Research & Development,1,4,3,3,1,Research Scientist,2,Single,2501,1,17,2,0,4,3,1,1,0.1745981607357057,0.25,0.0416666666666666,1.3660357784586907,0.5,0.5,0.5,0.0,2.0,0,Disengaged Juniors
32,No,Travel_Rarely,Research & Development,1,3,2,3,2,Research Scientist,2,Married,6220,1,17,2,2,3,3,10,0,0.1267218649517685,0.25,0.0,2.0385372519670644,5.0,10.0,0.3636363636363636,0.8181818181818182,0.2727272727272727,3,High Potential Fast Trackers
36,No,Travel_Rarely,Research & Development,6,3,2,4,1,Laboratory Technician,4,Married,3038,3,12,2,0,3,3,1,0,0.1489368005266622,0.3333333333333333,0.0,1.9403046479534705,0.25,1.0,0.0,0.0,1.5,0,Disengaged Juniors
31,No,Travel_Rarely,Research & Development,8,4,3,3,2,Manufacturing Director,4,Single,4424,1,23,4,0,2,3,11,1,0.1293331826401446,0.3333333333333333,0.0416666666666666,5.072089912215756,5.5,5.5,0.5833333333333334,0.6666666666666666,0.1666666666666666,0,Disengaged Juniors
35,No,Travel_Rarely,Sales,1,4,3,2,2,Sales Executive,1,Single,4312,0,14,2,0,2,3,15,2,0.1577017625231911,0.25,0.0833333333333333,2.207859537303104,15.0,5.0,0.8125,0.5,0.125,3,High Potential Fast Trackers
45,No,Travel_Rarely,Research & Development,6,4,4,3,3,Research Director,1,Married,13245,4,14,2,0,3,4,0,0,0.1524794261985655,0.2083333333333333,0.7083333333333334,2.058253782656499,0.0,0.0,0.0,0.0,3.0,2,Senior Stable
37,No,Travel_Rarely,Research & Development,7,4,1,3,3,Research Director,3,Single,13664,4,13,1,0,3,4,5,0,0.0512075526932084,0.2916666666666667,0.125,2.385387525266247,1.0,5.0,0.3333333333333333,0.3333333333333333,0.5,2,Senior Stable
46,No,Travel_Rarely,Human Resources,5,2,2,3,2,Human Resources,2,Divorced,5021,8,22,4,1,2,3,4,0,0.1528400716988647,0.3333333333333333,0.6666666666666666,4.350240655917372,0.4444444444444444,4.0,0.4,0.4,0.4,1,Overworked Juniors
30,No,Travel_Rarely,Research & Development,1,1,4,2,2,Laboratory Technician,4,Married,5126,1,12,3,2,1,2,10,3,0.0671576277799453,0.3333333333333333,0.75,3.0632418781530744,5.0,2.5,0.7272727272727273,0.0,0.0909090909090909,1,Overworked Juniors
35,No,Travel_Rarely,Research & Development,1,3,2,2,1,Research Scientist,3,Single,2859,1,18,1,0,3,3,6,0,0.1739454354669464,0.2916666666666667,0.1666666666666666,1.571910150744244,3.0,6.0,0.5714285714285714,0.5714285714285714,0.4285714285714285,0,Disengaged Juniors
55,No,Travel_Rarely,Sales,1,2,1,3,3,Sales Executive,4,Married,10239,3,14,4,1,4,3,1,1,0.0977995898036918,0.25,0.125,1.3826755626445282,0.25,0.5,0.0,0.0,2.0,2,Senior Stable
38,No,Non-Travel,Research & Development,6,3,2,1,2,Research Scientist,4,Divorced,5329,7,12,4,3,3,3,13,1,0.0903903171326702,0.2916666666666667,0.6666666666666666,1.3337388147575842,1.625,6.5,0.7857142857142857,0.6428571428571429,0.2142857142857142,1,Overworked Juniors
34,No,Travel_Rarely,Research & Development,1,2,1,3,2,Manufacturing Director,2,Married,4325,1,15,3,0,2,3,5,1,0.1697664739884392,0.1666666666666666,0.1666666666666666,1.6753787017914843,2.5,2.5,0.3333333333333333,0.5,0.3333333333333333,0,Disengaged Juniors
56,No,Travel_Rarely,Research & Development,7,3,4,1,3,Manufacturing Director,4,Single,7260,4,11,1,0,3,2,6,0,0.1608223140495867,0.25,0.1666666666666666,1.1427157543269368,1.2,6.0,0.5714285714285714,0.2857142857142857,0.4285714285714285,2,Senior Stable
23,No,Travel_Rarely,Sales,2,1,3,3,1,Sales Representative,1,Divorced,2322,3,13,3,1,3,3,0,0,0.0528337639965546,0.2916666666666667,0.125,1.290794384925799,0.0,0.0,0.0,0.0,3.0,0,Disengaged Juniors
51,No,Travel_Rarely,Research & Development,9,4,4,3,1,Laboratory Technician,4,Married,2075,3,23,2,2,4,3,4,0,0.1206746987951807,0.3333333333333333,0.0833333333333333,3.444565571608138,1.0,4.0,0.4,0.6,0.8,0,Disengaged Juniors
30,No,Travel_Rarely,Research & Development,2,3,3,2,2,Healthcare Representative,4,Married,4152,1,19,1,3,3,3,11,10,0.1795303468208092,0.2083333333333333,0.125,1.1280695997658725,5.5,1.0,0.8333333333333334,0.6666666666666666,0.25,4,Stagnant Mid-Seniors
46,Yes,Travel_Rarely,Sales,9,2,3,2,3,Sales Executive,4,Single,9619,1,16,4,0,3,3,9,4,0.0577419690196486,0.1666666666666666,0.0833333333333333,0.8048340514543839,4.5,1.8,0.8,0.7,0.3,2,Senior Stable
40,No,Travel_Frequently,Research & Development,1,4,3,2,4,Healthcare Representative,2,Married,13503,1,22,4,1,3,2,22,11,0.1754735984596016,0.3333333333333333,0.125,3.511032210198888,11.0,1.8333333333333333,0.1304347826086956,0.4782608695652174,0.1304347826086956,4,Stagnant Mid-Seniors
51,No,Travel_Rarely,Sales,21,4,3,3,2,Sales Executive,4,Single,5441,0,22,4,0,2,1,10,1,0.1045543098695093,0.3333333333333333,0.5833333333333334,4.015538826939333,10.0,5.0,0.6363636363636364,0.0,0.1818181818181818,3,High Potential Fast Trackers
30,No,Travel_Rarely,Sales,4,2,3,2,2,Sales Executive,2,Divorced,5209,1,12,2,3,4,2,11,2,0.0540295642157803,0.3333333333333333,0.7916666666666666,3.2253241046890837,5.5,3.6666666666666665,0.6666666666666666,0.5833333333333334,0.3333333333333333,1,Overworked Juniors
46,No,Travel_Frequently,Research & Development,1,3,3,2,3,Healthcare Representative,1,Married,10673,2,13,3,1,5,2,10,9,0.1003785252506324,0.2916666666666667,0.75,1.825360581797803,3.333333333333333,1.0,0.8181818181818182,0.4545454545454545,0.4545454545454545,4,Stagnant Mid-Seniors
32,No,Travel_Rarely,Sales,6,4,2,3,2,Sales Executive,3,Single,5010,1,16,1,0,0,3,11,5,0.108375249500998,0.25,0.0833333333333333,2.434200639918891,5.5,1.8333333333333333,0.6666666666666666,0.5833333333333334,0.0,0,Disengaged Juniors
54,No,Travel_Rarely,Research & Development,2,4,1,3,3,Research Director,3,Married,13549,9,12,1,1,5,1,4,0,0.1196324451989076,0.2083333333333333,0.1666666666666666,1.2497893898859005,0.4,4.0,0.6,0.6,1.0,2,Senior Stable
24,No,Travel_Rarely,Sales,3,2,1,3,2,Sales Executive,3,Married,4999,0,21,1,1,2,2,3,0,0.16874574914983,0.3333333333333333,0.2083333333333333,4.962016536365614,3.0,3.0,0.5,0.5,0.5,0,Disengaged Juniors
28,No,Non-Travel,Sales,4,3,2,3,2,Sales Executive,3,Married,4221,1,15,2,0,3,4,5,0,0.0984198057332386,0.2916666666666667,0.0416666666666666,2.191465244433205,2.5,5.0,0.6666666666666666,0.6666666666666666,0.5,0,Disengaged Juniors
58,No,Travel_Rarely,Sales,10,4,4,3,4,Sales Executive,3,Single,13872,0,13,3,0,1,2,37,1,0.1607064590542099,0.25,0.125,1.7096868092332331,37.0,18.5,0.2631578947368421,0.2105263157894736,0.0263157894736842,3,High Potential Fast Trackers
44,No,Non-Travel,Research & Development,23,3,2,3,2,Laboratory Technician,2,Married,2042,4,12,3,1,3,4,3,1,0.0837267384916747,0.2916666666666667,0.125,1.8946064025646576,0.6,1.5,0.5,0.5,0.75,0,Disengaged Juniors
37,Yes,Travel_Rarely,Human Resources,6,4,3,3,1,Human Resources,1,Divorced,2073,4,22,4,0,3,3,3,0,0.0653111432706222,0.3333333333333333,0.7083333333333334,3.566942072472576,0.6,3.0,0.5,0.5,0.75,1,Overworked Juniors
